,team,season,opp,datetime,day_week,W/L,ot,record,home/away,team_score,opp_score,1D_gained,team_total_yards,team_pass_yards,team_rush_yards,team_turnover,1D_allowed,opp_total_yards,opp_pass_yards,opp_rush_yards,opp_turnover,offense_expected_points,defense_expected_points,sp_expected_points
43,DET,2004,ARI,2004-12-05 13:03:00,Sun,1,0,5-7,HOME,26.0,12.0,16.0,398.0,183.0,215.0,1.0,15.0,254.0,160.0,94.0,4.0,2.83,22.09,-5.82
44,DET,2004,GNB,2004-12-12 16:15:00,Sun,0,0,5-8,AWAY,13.0,16.0,17.0,228.0,35.0,193.0,0.0,20.0,301.0,185.0,116.0,0.0,-3.31,1.24,0.57
45,DET,2004,MIN,2004-12-19 13:03:00,Sun,0,0,5-9,HOME,27.0,28.0,24.0,463.0,350.0,113.0,3.0,21.0,461.0,370.0,91.0,1.0,13.99,-18.84,-2.71
46,DET,2004,CHI,2004-12-26 13:03:00,Sun,1,0,6-9,HOME,19.0,13.0,17.0,314.0,156.0,158.0,1.0,16.0,229.0,105.0,124.0,1.0,-7.35,12.7,2.02
47,DET,2004,TEN,2005-01-02 13:03:00,Sun,0,0,6-10,AWAY,19.0,24.0,23.0,434.0,331.0,103.0,2.0,15.0,312.0,217.0,95.0,0.0,-8.08,-2.55,7.3
48,DET,2005,GNB,2005-09-11 16:19:00,Sun,1,0,1-0,HOME,17.0,3.0,18.0,254.0,152.0,102.0,0.0,13.0,216.0,170.0,46.0,3.0,-1.65,21.55,-5.51
49,DET,2005,CHI,2005-09-18 13:02:00,Sun,0,0,1-1,AWAY,6.0,38.0,14.0,234.0,205.0,29.0,5.0,18.0,336.0,149.0,187.0,0.0,-30.59,-9.57,3.35
50,DET,2005,TAM,2005-10-02 13:02:00,Sun,0,0,1-2,AWAY,13.0,17.0,11.0,226.0,135.0,91.0,1.0,17.0,353.0,284.0,69.0,4.0,-13.04,4.62,4.07
51,DET,2005,BAL,2005-10-09 13:02:00,Sun,1,0,2-2,HOME,35.0,17.0,22.0,266.0,97.0,169.0,2.0,26.0,387.0,228.0,159.0,4.0,10.75,5.78,1.85
52,DET,2005,CAR,2005-10-16 13:02:00,Sun,0,0,2-3,HOME,20.0,21.0,11.0,209.0,157.0,52.0,4.0,14.0,317.0,263.0,54.0,4.0,-30.39,20.74,7.57
53,DET,2005,CLE,2005-10-23 13:04:00,Sun,1,0,3-3,AWAY,13.0,10.0,19.0,329.0,210.0,119.0,1.0,11.0,174.0,56.0,118.0,3.0,-3.5,17.43,-8.26
54,DET,2005,CHI,2005-10-30 13:04:00,Sun,0,1,3-4,HOME,13.0,19.0,17.0,278.0,185.0,93.0,1.0,14.0,333.0,218.0,115.0,1.0,-8.09,6.04,-4.8
55,DET,2005,MIN,2005-11-06 13:05:00,Sun,0,0,3-5,AWAY,14.0,27.0,20.0,289.0,231.0,58.0,3.0,19.0,285.0,121.0,164.0,1.0,-11.37,-1.13,-2.42
56,DET,2005,ARI,2005-11-13 13:03:00,Sun,1,0,4-5,HOME,29.0,21.0,22.0,383.0,226.0,157.0,0.0,21.0,397.0,359.0,38.0,1.0,12.18,-5.47,4.21
57,DET,2005,DAL,2005-11-20 13:02:00,Sun,0,0,4-6,AWAY,7.0,20.0,11.0,226.0,169.0,57.0,1.0,26.0,253.0,104.0,149.0,1.0,-3.31,-7.03,-3.04
58,DET,2005,ATL,2005-11-24 12:40:00,Thu,0,0,4-7,HOME,7.0,27.0,20.0,304.0,229.0,75.0,4.0,22.0,402.0,146.0,256.0,2.0,-12.68,-5.26,0.85
59,DET,2005,MIN,2005-12-04 13:02:00,Sun,0,0,4-8,HOME,16.0,21.0,19.0,223.0,118.0,105.0,1.0,20.0,345.0,242.0,103.0,0.0,-1.83,-7.33,4.52
60,DET,2005,GNB,2005-12-11 20:36:00,Sun,0,1,4-9,AWAY,13.0,16.0,11.0,241.0,112.0,129.0,0.0,19.0,330.0,149.0,181.0,2.0,-8.27,1.73,5.0
61,DET,2005,CIN,2005-12-18 16:05:00,Sun,0,0,4-10,HOME,17.0,41.0,13.0,270.0,211.0,59.0,4.0,29.0,426.0,271.0,155.0,2.0,-0.05,-18.7,-3.5
62,DET,2005,NOR,2005-12-24 13:06:00,Sat,1,0,5-10,AWAY,13.0,12.0,14.0,279.0,208.0,71.0,1.0,19.0,273.0,226.0,47.0,1.0,-5.15,6.15,0.85
